School,City,State,Other Affiliations,League,Division
Bob Jones University,Greenville,South Carolina,,,
Johnson University,Kissimmee,Florida,,,
Pensacola Christian College,Pensacola,Florida,,,
Toccoa Falls College,Toccoa,Georgia,,,
Trinity Baptist College,Jacksonville,Florida,,,
Trinity College,New Port Richey,Florida,,,
