School,City,State,Other Affiliations,League,Division
Appalachian Bible College,Beckley,West Virginia,,,
Boyce College,Louisville,Kentucky,,,
Grace Bible College,Grand Rapids,Michigan,Independent,ACCA,
Great Lakes Christian College,Delta Township,Michigan,,,
Johnson University,Knoxville,Tennessee,,,
Kentucky Christian University,Grayson,Kentucky,Independent,NAIA,
Simmons College of Kentucky,Louisville,Kentucky,,,
Welch College,Nashville,Tennessee,Independent,ACCA,
