School,City,State,Other Affiliations,League,Division
Bethel College,Mishawaka,Indiana,Crossroads League,NAIA,
Greenville University,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference,NCAA,3
Judson University,Elgin,Illinois,Chicagoland Collegiate Athletic Conference,NAIA,
Lincoln Christian University,Lincoln,Illinois,Independent,NAIA,
University of Northwestern – St. Paul,Roseville,Minnesota,Upper Midwest Athletic Conference,NCAA,3
Olivet Nazarene University,Bourbonnais,Illinois,Chicagoland Collegiate Athletic Conference,NAIA,
Trinity Christian College,Palos Heights,Illinois,Chicagoland Collegiate Athletic Conference,NAIA,
Trinity International University,Deerfield,Illinois,Chicagoland Collegiate Athletic Conference,NAIA,
