School,City,State,Other Affiliations,League,Division
Alice Lloyd College,Pippa Passes,Kentucky,River States Conference,NAIA,
Belhaven University,Jackson,Mississippi,American Southwest Conference,NCAA,3
Bluefield College,Bluefield,Virginia,Appalachian Athletic Conference,NAIA,
Campbellsville University,Campbellsville,Kentucky,Mid-South Conference,NAIA,
Hiwassee College,Madisonville,Tennessee,,,
Lee University,Cleveland,Tennessee,Gulf South Conference,NCAA,2
Oakland City University,Oakland City,Indiana,Independent,NCAA,2
