School,City,State/Province,Other Affiliations,League,Division
Bethesda University,Anaheim,California,,,
Biola University,La Mirada,California,Pacific West Conference,NCAA,2
Life Pacific College,San Dimas,California,,,
New Hope Christian College,Eugene,Oregon,,,
Providence Christian College,Pasadena,California,California Pacific Conference,NAIA,
St. Katherine College,San Marcos,California,,,
West Coast Baptist College,Lancaster,California,,,
Yellowstone Christian College,Billings,Montana,,,
