School,Nickname,City,State/Province,Conference,Division
University of St. Thomas,Tommies,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,3
University of St. Thomas,Celts,Houston,Texas,Southern Collegiate Athletic Conference,3
Saint Vincent College,Bearcats,Latrobe,Pennsylvania,Presidents' Athletic Conference,3
Salem College,Spirits,Winston-Salem,North Carolina,USA South Athletic Conference,3
Salem State University,Vikings,Salem,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
Salisbury University,Sea Gulls,Salisbury,Maryland,Capital Athletic Conference,3
Salve Regina University,Seahawks,Newport,Rhode Island,Commonwealth Coast Conference,3
Sarah Lawrence College,Gryphons,Yonkers,New York,Skyline Conference,3
Schreiner University,Mountaineers,Kerrville,Texas,Southern Collegiate Athletic Conference,3
University of Scranton,Royals,Scranton,Pennsylvania,Landmark Conference,3
Sewanee: The University of the South,Tigers,Sewanee,Tennessee,Southern Athletic Association,3
Shenandoah University,Hornets,Winchester,Virginia,Old Dominion Athletic Conference,3
Simmons College,Sharks,Boston,Massachusetts,Great Northeast Athletic Conference,3
Simpson College,Storm,Indianola,Iowa,Iowa Intercollegiate Athletic Conference,3
Skidmore College,Thoroughbreds,Saratoga Springs,New York,Liberty League,3
Smith College,Pioneers,Northampton,Massachusetts,New England Women's and Men's Athletic Conference,3
University of Southern Maine,Huskies,Portland,Maine,Little East Conference,3
Southern Vermont College,Mountaineers,Bennington,Vermont,New England Collegiate Conference,3
Southern Virginia University,Knights,Buena Vista,Virginia,Capital Athletic Conference,3
Southwestern University,Pirates,Georgetown,Texas,Southern Collegiate Athletic Conference,3
Spalding University,Golden Eagles,Louisville,Kentucky,St. Louis Intercollegiate Athletic Conference,3
Springfield College,Pride,Springfield,Massachusetts,New England Women's and Men's Athletic Conference,3
College of Staten Island,Dolphins,Staten Island,New York,City University of New York Athletic Conference,3
Stevens Institute of Technology,Ducks,Hoboken,New Jersey,Empire 8,3
Stevenson University,Mustangs,Stevenson,Maryland,MAC Commonwealth Conference,3
Stockton University,Ospreys,Pomona,New Jersey,New Jersey Athletic Conference,3
Suffolk University,Rams,Boston,Massachusetts,Great Northeast Athletic Conference,3
Sul Ross State University,Lobos,Alpine,Texas,American Southwest Conference,3
Susquehanna University,River Hawks,Selinsgrove,Pennsylvania,Landmark Conference,3
Swarthmore College,Garnet,Swarthmore,Pennsylvania,Centennial Conference,3
Sweet Briar College,Vixens,Sweet Briar,Virginia,Old Dominion Athletic Conference,3
University of Texas at Dallas,Comets,Dallas,Texas,American Southwest Conference,3
Texas Lutheran University,Bulldogs,Seguin,Texas,Southern Collegiate Athletic Conference,3
University of Texas at Tyler,Patriots,Tyler,Texas,American Southwest Conference,3
Thiel College,Tomcats,Greenville,Pennsylvania,Presidents' Athletic Conference,3
Thomas College,Terriers,Waterville,Maine,North Atlantic Conference,3
Thomas More College,Saints,Crestview Hills,Kentucky,American Collegiate Athletic Association,3
Transylvania University,Pioneers,Lexington,Kentucky,Heartland Collegiate Athletic Conference,3
Trine University,Thunder,Angola,Indiana,Michigan Intercollegiate Athletic Association,3
Trinity College,Bantams,Hartford,Connecticut,New England Small College Athletic Conference,3
Trinity University,Tigers,San Antonio,Texas,Southern Collegiate Athletic Conference,3
Trinity Washington University,Tigers,Washington,District of Columbia,Independent,3
Tufts University,Jumbos,Medford,Massachusetts,New England Small College Athletic Conference,3
Union College,Dutchmen,Schenectady,New York,Liberty League,3
United States Coast Guard Academy (Coast Guard),Bears,New London,Connecticut,New England Women's and Men's Athletic Conference,3
United States Merchant Marine Academy (Merchant Marine),Mariners,Kings Point,New York,Skyline Conference[3],3
Ursinus College,Bears,Collegeville,Pennsylvania,Centennial Conference,3
Utica College,Pioneers,Utica,New York,Empire 8,3
University of Valley Forge,Patriots,Phoenixville,Pennsylvania,American Collegiate Athletic Association,3
Vassar College,Brewers,Poughkeepsie,New York,Liberty League,3
Virginia Wesleyan University,Marlins,Virginia Beach,Virginia,Old Dominion Athletic Conference,3
Wabash College,Little Giants,Crawfordsville,Indiana,North Coast Athletic Conference,3
Wartburg College,Knights,Waverly,Iowa,Iowa Intercollegiate Athletic Conference,3
Washington & Jefferson College,Presidents,Washington,Pennsylvania,Presidents' Athletic Conference,3
Washington and Lee University,Generals,Lexington,Virginia,Old Dominion Athletic Conference,3
Washington College,Shoremen,Chestertown,Maryland,Centennial Conference,3
Washington University in St. Louis,Bears,St. Louis,Missouri,University Athletic Association,3
Waynesburg University,Yellow Jackets,Waynesburg,Pennsylvania,Presidents' Athletic Conference,3
Webster University,Gorloks,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,3
Wellesley College,Blue,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,3
Wells College,Express,Aurora,New York,North Eastern Athletic Conference,3
